Year,Consumption,30_85_cons,use_this,steve_50cm,steve_70cm,ebs_nbs,kir_nbs_ebs
1985,582.867812,713.7573939,699.7722679,236.8442047,89.684605,713.7573939,9373293273
1986,627.6818252,780.7383004,751.9452422,271.795057,81.450306,780.7383004,8114426155
1987,819.6623901,1014.327912,946.2192077,263.0374402,72.269344,1014.327912,8407733523
1988,221.8296217,292.8776765,405.7530937,285.1695054,69.922532,292.8776765,6633109763
1989,474.3846801,595.5529424,616.735901,253.6864067,67.328752,595.5529424,5841702688
1990,276.4758292,341.1449296,796.792281,197.143556,67.49107,341.1449296,6338827645
1991,244.3425862,359.927129,414.5319769,134.193774,58.63266,359.927129,6564061020
1992,148.1456848,193.6088191,237.4697268,127.767965,42.777786,193.6088191,6531669425
1993,190.9604253,220.6886112,254.1806098,163.3007433,30.786702,220.6886112,7980646765
1994,716.38387,839.3720887,868.034288,188.3449007,27.3822,839.3720887,7837155529
1995,438.9394782,496.6183548,565.2356682,184.2525411,29.68437,496.6183548,6321053986
1996,506.3370291,686.0058392,565.7984766,211.6244025,31.079635,686.0058392,6295632389
1997,567.138707,766.525607,656.914464,183.6418882,31.57686,766.525607,5597103959
1998,263.2902251,459.2389066,311.239065,147.4951739,34.702852,459.2389066,6455893845
1999,158.4334395,209.6061221,272.1157234,139.9046922,34.272684,209.6061221,5527004437
2000,367.305204,526.59518,413.4341941,183.5975666,30.332636,526.59518,5572146662
2001,607.841624,783.862725,741.2425664,186.4932434,30.008458,783.862725,6355921603
2002,246.8434102,279.8974541,328.3459172,174.8235344,35.723512,279.8974541,5913142167
2003,166.3656237,342.1829113,165.1698556,195.2081801,37.034314,342.1829113,7218466520
2004,NA,NA,NA,193.4402414,35.876448,NA,5698677615
2005,365.3639402,441.8534,365.0584616,160.7973945,37.116683,441.8534,5077426860
2006,123.7220172,132.0869391,155.7630463,135.7261517,35.097746,132.0869391,4137092632
2007,94.83797093,101.7711334,135.2140886,119.9747531,30.224828,101.7711334,4477541064
2008,128.6416811,120.9839901,231.1996532,99.56302201,25.745265,120.9839901,4024818776
2009,83.2163834,128.3974616,122.2796368,102.4619819,20.908362,128.3974616,5419201037
2010,127.629996,177.7338816,202.1971797,149.6529784,17.235751,185.7743348,6622682044
2011,233.6967283,301.9888611,454.4289864,174.1135683,17.636263,301.9888611,6858894625
2012,215.8849253,244.2630833,321.069816,224.7994038,21.762627,244.2630833,5974705492
2013,348.0375517,464.8810538,396.2493143,192.1483493,27.629817,464.8810538,7557803084
2014,830.7542741,1220.337317,844.1602204,202.0419118,32.555165,1220.337317,9517772118
2015,1265.977849,1799.110081,1426.120658,247.4805642,31.335402,1799.110081,10012749836
2016,1443.035768,2020.800521,1524.364783,287.0909282,34.738044,2020.800521,9790870623
2017,538.7419626,671.3811475,631.3649708,321.4598545,43.137151,1453.172155,7682749104
2018,887.4892845,1051.092478,935.2577083,260.8385972,55.918886,1051.092478,7344743492
2019,494.3702127,542.5130159,490.3109516,207.792227,66.208364,1460.782836,9338600861
